企业名称,项目编号,项目名称,主管部门,推荐部门
上海逸动医学科技有限公司,,DPE-LAL关节韧带数字体查仪,松江区科学技术委员会,
上海悦联生物科技有限公司,,19%啶氧菌酯·丙环唑微乳剂（法砣）,金山区科学技术委员会,
上海再启生物技术有限公司,,（3aR,松江区科学技术委员会,
上海新阳半导体材料股份有限公司,,干法蚀刻清洗液（SYS700、SYS750、SYS9050、SYS9055、SYS9058、SYS9059、SYS9070、SYS9072、SYS9072M、SYS9073）,松江区科学技术委员会,
宝山钢铁股份有限公司,,780-1180MPa级低碳当量超高强冷轧热镀锌双相钢（JAC780Y、CR980T/700YMPLCE、HC820/1180DPD+Z）,宝山区科学技术委员会,中国宝武钢铁集团有限公司
宝山钢铁股份有限公司,,卷铁心用高磁感取向硅钢（B23P085、B23P080、B20P075）,宝山区科学技术委员会,中国宝武钢铁集团有限公司
宝山钢铁股份有限公司,,高屈强比高弯曲吉帕级冷轧复相钢（HC700/980CP、CPT-980T）,宝山区科学技术委员会,中国宝武钢铁集团有限公司
上海隆昇光电新材料有限公司,,PDLC调光膜（S331）,嘉定区科学技术委员会,
上海网讯新材料科技股份有限公司,,SGQ钢塑复合带,闵行区科学技术委员会,
上海钱丰纺织品有限公司,,碱性水电解制氢用PPS隔膜（60cm;80cm;100cm;130cm;150cm;170cm;190cm;200cm）,奉贤区科学技术委员会,
上海紫华薄膜科技有限公司,,聚烯烃微孔透气膜（C1011600、C1011620、C101140、C101175）,闵行区科学技术委员会,
上海克琴科技有限公司,,麦角硫因（2-巯基组氨酸甜菜碱）,金山区科学技术委员会,
上海稳优实业有限公司,,固化剂LH-9282,奉贤区科学技术委员会,
畅的新材料科技（上海）有限公司,,纳米复合IN材料CD-IN170,宝山区科学技术委员会,
上海德福伦新材料科技有限公司,,抗菌抗紫外线再生涤纶短纤维,金山区科学技术委员会,
凯鑫森（上海）功能性薄膜产业股份有限公司,,COS-NW型耐污贴合膜,金山区科学技术委员会,
上海贝通色彩科技有限公司,,分散染料组合物（BCQ200、BCQ300）,嘉定区科学技术委员会,
康瑞利琪环保科技（上海）有限公司,,不燃洁净板（4.5mm厚）,上海市张江科学城建设管理办公室,
上海宝聚表面技术有限公司,,低温脱脂剂（BG-835、C5191763、C5196028）,松江区科学技术委员会,
上海固创化工新材料有限公司,,氧双邻苯二甲酸酐（纯度≥99.5%）,金山区科学技术委员会,
亚士创能科技（上海）股份有限公司,,亚士创能保温装饰成品板A-F-II型,青浦区科学技术委员会,
永星化工（上海）有限公司,,纳米级锌铝涂料（D-60）,金山区科学技术委员会,
堡森（上海）新材料科技有限公司,,管涵高性能修复胶泥,宝山区科学技术委员会,
上海中镭新材料科技有限公司,,改性塑料PC/GF合金,上海市临港地区开发建设管理委员会,
上海交大海科检测技术有限公司,,隐蔽工程结构缺陷及填充状态可视化无损检测技术服务,徐汇区科学技术委员会,
上海叁零肆零科技有限公司,,智慧燃气管网在线仿真系统,上海市临港地区开发建设管理委员会,
蓝幸软件（上海）有限公司,,蓝幸SCATLAS云服务平台,闵行区科学技术委员会,
上海市政养护管理有限公司,,沥青路面铣刨摊铺控制新型算法技术服务,闵行区科学技术委员会,上海隧道工程股份有限公司
上海怀信智能科技有限公司,,快消品制造执行系统技术服务,上海市临港地区开发建设管理委员会,
上海酷潮科技股份有限公司,,5G智能云通信系统技术服务,奉贤区科学技术委员会,
上海智赢健康科技有限公司,,居民电子健康档案数据质控分析软件技术服务,静安区科学技术委员会,
上海莘阳新能源科技股份有限公司,,辐射空调系统工程服务,松江区科学技术委员会,
中浦慧联信息科技（上海）有限公司,,吉小智智慧餐厅平台,上海市临港地区开发建设管理委员会,
上海阿波罗机械股份有限公司,,DSC型干法密封贮存罐,奉贤区科学技术委员会,
思源清能电气电子有限公司,,综合型静止无功发生器STATCOM,闵行区科学技术委员会,
思源清能电气电子有限公司,,35kVMMC型静止同步补偿器,闵行区科学技术委员会,
上海中器环保科技有限公司,,纯生物柴油（国Ⅵ）,奉贤区科学技术委员会,
澄瑞电力科技（上海）股份公司,,CRH型电池管理系统,上海市张江科学城建设管理办公室,
澄瑞电力科技（上海）股份公司,,CRH型电缆管理系统,上海市张江科学城建设管理办公室,
上海思源弘瑞自动化有限公司,,母线保护装置（UDB-501AL-DA-GCN）,闵行区科学技术委员会,
上海思源弘瑞自动化有限公司,,母联（分段）保护装置（UDL-531EA-DA-GCN）,闵行区科学技术委员会,
上海迪普信成智能科技有限公司,,迪普信成冷源虚拟化仿真软件,上海市临港地区开发建设管理委员会,
上海朗骏智能科技股份有限公司,,宽电压电子式光控器（JL-205）,宝山区科学技术委员会,
上海市政工程设计研究总院（集团）有限公司,,水位自适应透气井破垢防淤装置,杨浦区科学技术委员会,
上海紫江彩印包装有限公司,,感光材料包装用光屏蔽复合膜,闵行区科学技术委员会,
上海协微环境科技有限公司,,氮氧化物处理系统（SODN-100、SODN-100E、SODN-100F、SODN-100S）,嘉定区科学技术委员会,
中国建材国际工程集团有限公司,,高效节能退火装置BF7546,普陀区科学技术委员会,
中国建材国际工程集团有限公司,,光伏玻璃输送智能装备BF7195,普陀区科学技术委员会,
光惠（上海）激光科技有限公司,,YLLS-Weld-1500-A手持式智能激光焊机,青浦区科学技术委员会,
上海复志信息科技股份有限公司,,超高速专业级3D打印机（P3、P3PLUS、P3Hyper）,杨浦区科学技术委员会,
上海马拉松·革新电气有限公司,,交流同步发电机（862FSHA816、863FDHA818）,宝山区科学技术委员会,
上海西门子高压开关有限公司,,252kV三相机械联动GIS用断路器（8DN9）,闵行区科学技术委员会,
广舜检测技术（上海）有限公司,,包体氦检设备,金山区科学技术委员会,
上海崇明特种电磁线厂,,180级聚氨酯漆包铜圆线（CHM2QA1180D1300.13；CHM2QA1180D2400.24；M21571013L0.19；QA-1/1800.25；QA-1/1800.132；QA-1/1800.21；QA-1/1800.27；QA-1/1800.15；QA-1/1800.67；QA-1/1800.17）,崇明区科学技术委员会,
上海方科汽车部件有限公司,,MEB骨架（34292050B）,金山区科学技术委员会,
上海思源光电有限公司,,SEM6000输变电综合在线监测系统,闵行区科学技术委员会,
上海翔雅仪器设备有限公司,,动态温度控制系统（DT-5030-200EX、DT-5040-200EX、DT-5045-200EX、DT-5050-200EX、DT-5080-200EX、DT-10030-200EX、DT-10040-200EX、DT-10080-200EX、DT-30040-200EX）,奉贤区科学技术委员会,
上海天孚实业股份有限公司,,智能插纱机器人,松江区科学技术委员会,
川田机械制造（上海）有限公司,,脱湿干燥机（DFK-25Z-KS，DFK-50Z-KS，DFK-75Z-KS，DFK-100Z-KS，DFK-150Z-KS，DFK-200Z-KS，DFK-300Z-KS）,闵行区科学技术委员会,
上海海德隆流体设备制造有限公司,,净水设备HDL,奉贤区科学技术委员会,
上海柘中电气有限公司,,BlokSet低压开关柜,奉贤区科学技术委员会,
致瞻科技（上海）有限公司,,DC-DC充电升压总成控制器（T4K-2110030_DC-DC充电升压总成_M00000）,闵行区科学技术委员会,
上海煊峰光电科技有限公司,,高能激光反射镜（DIA50.8-T12mm）,嘉定区科学技术委员会,
上海赛摩物流科技有限公司,,智能立体仓库,闵行区科学技术委员会,
上海欣巴自动化科技股份有限公司,,自动发药机（SIMBA-XB）,普陀区科学技术委员会,
图速自动化科技（上海）有限公司,,柔性打磨机器人（TS-KR210R2700-2）,松江区科学技术委员会,
上海电气泰雷兹交通自动化系统有限公司,,DDOC全电子联锁执行单元,浦东新区科技和经济委员会,
上海远观物联网科技有限公司,,断路器动作次数计数器（YG_DJS100）,浦东新区科技和经济委员会,
上海瑞司倍海洋工程技术有限公司,,船舶建造工艺智能自定义编制管理系统V1.0,浦东新区科技和经济委员会,
上海胜境网络科技有限公司,,胜境数智仓配平台软件V1.0,浦东新区科技和经济委员会,
上海澎博财经资讯有限公司,,澎博商品合约交易软件（简称：POBO-SPHY）V1.0,浦东新区科技和经济委员会,
扬子江药业集团上海海尼药业有限公司,,硫酸镁钠钾口服用浓溶液,浦东新区科技和经济委员会,
上海建工一建集团有限公司,,高层混凝土结构建造模块化智能爬升钢平台模架技术服务,浦东新区科技和经济委员会,
上海建工一建集团有限公司,,增设地下连通道暗挖建造变形控制环境保护技术服务,浦东新区科技和经济委员会,
上海建工集团股份有限公司,,可移动式风力光伏综合发电装置,浦东新区科技和经济委员会,
上海汇众汽车制造有限公司,,大众ID新能源轿车副车架总成,浦东新区科技和经济委员会,
联合汽车电子有限公司,,X01-后电驱动总成（X01-21000011）,浦东新区科技和经济委员会,
上海宝信软件股份有限公司,,宝罗3D机器人,浦东新区科技和经济委员会,中国宝武钢铁集团有限公司
上海东方久乐汽车安全气囊有限公司,,驾驶员正面安全气囊总成（5821100-MK05-BN03、5821100-CN01、5821100-DC03、5821100-MK05-DY01、5821100-MK05-DY02、5821100-MK05-BQ03、5821100-BS01、5821100-BS03、5821100-MK06、5821100-MK05-DY03、5821100-MK05-CJ01）,浦东新区科技和经济委员会,
林洋能源科技（上海）有限公司,,智慧液冷储能柜LY-Power-KEY-200,浦东新区科技和经济委员会,
上海泰崇电气有限公司,,驻车电机（900.300.332）,浦东新区科技和经济委员会,
上海江奥数控机床有限公司,,数控长杆筒钻杆加工机床（QK1327B）,浦东新区科技和经济委员会,
上海富瀚微电子股份有限公司,,FH8536HV200集成电路,徐汇区科学技术委员会,上海市漕河泾新兴技术开发区发展总公司
上海华测导航技术股份有限公司,,AU20多平台激光雷达测量系统,青浦区科学技术委员会,
上海华测导航技术股份有限公司,,高精度MEMS组合导航系统CGI-210,青浦区科学技术委员会,
中航华东光电（上海）有限公司,,飞机发动机进气道智能检测系统,闵行区科学技术委员会,
上海拜安实业有限公司,,光纤激光器（G-350-000020/G-350-000024）,闵行区科学技术委员会,
上海移远通信技术股份有限公司,,5G车载无线通信模组（RM500Q-GL、RG500Q-EA）,松江区科学技术委员会,
上海展湾信息科技有限公司,,展湾玻璃行业热端工艺自动控制系统,杨浦区科学技术委员会,
上海传英信息技术有限公司,,传英信息引擎预测回救系统软件V2.0,上海市张江科学城建设管理办公室,
上海硅地网络科技有限公司,,硅地保险经代业务管理软件V1.0.0,青浦区科学技术委员会,
上海熙软科技有限公司,,熙软医院全面预算管理平台V3.1,杨浦区科学技术委员会,
小沃科技有限公司,,小沃XR客户端标准化接入平台软件V1.0,杨浦区科学技术委员会,
小沃科技有限公司,,小沃AI-智能语音引擎软件V1.0,杨浦区科学技术委员会,
上海鸿晔电子科技股份有限公司,,同时同频全双工天线（JTMT-UD-C18-A）,闵行区科学技术委员会,
上海仁赞网络科技有限公司,,仁赞传销违法数据智慧公安分析系统V1.0,青浦区科学技术委员会,
上海云令智享信息技术有限公司,,千万项APaaS平台软件V1.0,青浦区科学技术委员会,
上海德拓信息技术股份有限公司,,德拓INFINITY智能分布式集群存储云平台软件V4.0,徐汇区科学技术委员会,
多感科技（上海）有限公司,,多光谱成像芯片MultiSpec,嘉定区科学技术委员会,
慧石（上海）测控科技有限公司,,压力传感器（F00A00394）,青浦区科学技术委员会,
上海嘉楠捷思信息技术有限公司,,物联网智能计算芯片K510,静安区科学技术委员会,
上海运匠信息科技有限公司,,基于云技术的物流全流程协同管理平台,虹口区科学技术委员会,
上海美嘉林软件科技股份有限公司,,诊断仪软件（简称：诊断仪）V1.0,徐汇区科学技术委员会,
上海悠技信息技术有限公司,,在线云堆场管理平台,上海市张江科学城建设管理办公室,
上海营联信息技术有限公司,,营联基于大数据分析的多媒体客服系统V1.3,上海市临港地区开发建设管理委员会,
上海太阳生物技术有限公司,,UP5500全自动凝血分析仪,闵行区科学技术委员会,
上海艾普强粒子设备有限公司,,质子治疗系统（SAPT-PS-01）,嘉定区科学技术委员会,
上海伯杰医疗科技股份有限公司,,恒温核酸扩增检测分析仪（BG-Nova-X8）,奉贤区科学技术委员会,
上海达华药业有限公司,,左炔诺孕酮硅胶棒（Ⅱ）（75mg）,崇明区科学技术委员会,
上海安谱实验科技股份有限公司,,CNWBOND去磷脂PPR小柱,松江区科学技术委员会,
上海安谱实验科技股份有限公司,,CNWN-sorb专用柱,松江区科学技术委员会,
上海雅心生物技术有限公司,,重组肠激酶,奉贤区科学技术委员会,
东富龙生命科技有限公司,,一次性细胞处理系统（TCell-Pro）,闵行区科学技术委员会,
上海康达卡勒幅医疗科技有限公司,,脑血管血液动力学监测仪（CVHD-K3000）,宝山区科学技术委员会,
上海浩顺科技有限公司,,婴幼儿经皮黄疸测试仪（NJ33型、NJ33A型）,杨浦区科学技术委员会,
上海赛科石油化工有限责任公司,,GPPS152高抗冲通用聚苯乙烯材料,金山区科学技术委员会,
上海市政工程设计研究总院（集团）有限公司,,混凝土结构加固用超高强高韧复合材料,杨浦区科学技术委员会,
上海市政工程设计研究总院（集团）有限公司,,地下式污水处理厂无管式通风装置,杨浦区科学技术委员会,
上海紫丹食品包装印刷有限公司,,高透汽包装纸,闵行区科学技术委员会,
上海道宜半导体材料有限公司,,集成电路封装用环氧模塑料（DYG600/DYG700）,奉贤区科学技术委员会,
上海海隆石油钻具有限公司,,HL125S高钢级抗硫钻杆,宝山区科学技术委员会,
上海裕生特种线材有限公司,,电磁线QTC-2/200（Cu-DHP）,青浦区科学技术委员会,
上海弗屈尔光电科技有限公司,,新性能OLED蓝色发光显示材料,闵行区科学技术委员会,
上海沪正实业有限公司,,无色透明纳米银溶液（AGS-WMB1000A/AGS-WMB1000B/AGS-WMB1000C）,奉贤区科学技术委员会,
上海沪正实业有限公司,,功能填充母粒（FJD-PET/FJD-PP/FJD-PE）,奉贤区科学技术委员会,
上海普利生机电科技有限公司,,模型树脂（RP-405-CEA01W、RP-405-NM02Y、RP-405-NM03Y、RP-405-SD01B、RP-405-TL03W、RP-405-TL04W、RP-405-TL04WV2.0、RP-405-TL04WV3.0、RP-405-TL05W、RP-405-TB01W、RP-405-TZ06YV2.0、RP-405-TZ08GV2.0、RP-405-TZ08Y）,松江区科学技术委员会,
上海嘉麟杰纺织科技有限公司,,化纤制针织面料6028OR,金山区科学技术委员会,
上海品诚控股集团有限公司,,聚碳酸酯（PC）实心板（2mm、3mm、4mm、4.5mm、5mm、6mm、6.5mm、8mm、10mm、12mm、15mm、20mm）,青浦区科学技术委员会,
中国石化上海石油化工股份有限公司,,医用聚丙烯注射器专用料（GM1600EH）,金山区科学技术委员会,中国石化上海石油化工股份有限公司
上海保立佳新材料有限公司,,建筑用耐水耐沾污乳液,奉贤区科学技术委员会,
上海亥博胶粘材料有限公司,,打孔封边胶带（25mm*100m、25mm*200m、25mm*400m、25mm*500m、25mm*1000m、30mm*100m、30mm*200m、30mm*400m、30mm*500m、30mm*1000m、40mm*100m、40mm*200m、40mm*400m、40mm*500m、40mm*1000m）,松江区科学技术委员会,
上海继胜磁性材料有限公司,,新型通用磁芯（ATQ、EED、EF、EID、EQ、PQ20、RM、UI、CPD、CPE、PED、PEI、SP、EER）,松江区科学技术委员会,
上海路嘉胶粘剂有限公司,,真空吸塑胶（型号：RY3209、RY3204、RY63204、RY63209、RY3206、RY63206、RY63205、RY63207、RY3204HV、RY3209HV、RY3206HV）,青浦区科学技术委员会,
道生天合材料科技（上海）股份有限公司,,手糊环氧系统料210C/213C/215C,上海市临港地区开发建设管理委员会,
上海市基础工程集团有限公司,,地下水泥土连续钢墙应用技术服务,杨浦区科学技术委员会,
上海市基础工程集团有限公司,,超长距离小直径过江盾构隧道建造技术服务,杨浦区科学技术委员会,
上海宝冶集团有限公司,,大型炼钢厂快速建造综合技术服务,宝山区科学技术委员会,
上海宝冶集团有限公司,,大型场馆复杂钢结构安装技术服务,宝山区科学技术委员会,
兴容（上海）信息技术股份有限公司,,智能化场景技术服务,长宁区科学技术委员会,
上海华携实业发展有限公司,,E-reporting安环保数据管理系统技术服务,金山区科学技术委员会,
上海万纬纵横科技有限公司,,泛客户经营管理平台软件服务,闵行区科学技术委员会,
上海莘阳新能源科技股份有限公司,,地源热泵系统工程服务,松江区科学技术委员会,
彩数（上海）商务咨询有限公司,,彩数大数据舆情软件信息技术服务,宝山区科学技术委员会,
上海建工电子商务有限公司,,营造商采购服务平台,虹口区科学技术委员会,
上海电巴新能源科技有限公司,,轻卡充换电站,上海市临港地区开发建设管理委员会,
上海阿波罗机械股份有限公司,,HQFG135型辅助给水汽动泵,奉贤区科学技术委员会,
上海阿波罗机械股份有限公司,,AMXG型主给水泵,奉贤区科学技术委员会,
上海汽轮机厂有限公司,,单缸补汽式饱和蒸汽凝汽式汽轮机,闵行区科学技术委员会,上海电气（集团）总公司
上海汽轮机厂有限公司,,单轴单缸反流反动抽背式汽轮机（CB20-100）,闵行区科学技术委员会,上海电气（集团）总公司
爱士惟科技股份有限公司,,逆变器（ASW25K-LT-G2、ASW23K-LT-G2、ASW20K-LT-G2、ASW17K-LT-G2、ASW15K-LT-G2、ASW13K-LT-G2、ASW12K-LT-G2、ASW10K-LT-G2、ASW8K-LT-G2）,黄浦区科学技术委员会,
上海航天电源技术有限责任公司,,电机车动力电池系统（537.6V/412Ah）,闵行区科学技术委员会,
上海嘉德环境能源科技有限公司,,蓄热式隧道炉,上海市临港地区开发建设管理委员会,
上海宝氢气体工业有限公司,,高纯氢气（纯度99.999%）,宝山区科学技术委员会,
上海朋环测控技术股份有限公司,,PHCK6800型环境空气非甲烷总烃连续自动监测系统,闵行区科学技术委员会,
上海环境工程设计研究院有限公司,,低温烟气余热利用设备,静安区科学技术委员会,
上海雷探科技有限公司,,微波辐射计（TK001）,闵行区科学技术委员会,
上海龙涤环保技术工程有限公司,,噪音扬尘在线监测系统（LD-ODM-3）,杨浦区科学技术委员会,
上海申环环境工程有限公司,,复合污染土壤的多级异位淋洗修复装置,杨浦区科学技术委员会,
上海欣巴自动化科技股份有限公司,,交叉带式自动分拣机（SIMBACS2）,普陀区科学技术委员会,
上海君屹工业自动化股份有限公司,,新能源智能模组PACK装配线（JY01）,松江区科学技术委员会,
上海骄成超声波技术股份有限公司,,20k/40k超声波焊头,闵行区科学技术委员会,
博雷顿科技股份公司,,纯电动轮胎式装载机BRT958EV,闵行区科学技术委员会,
上海大松瓦楞辊有限公司,,复合热处理瓦楞辊（F、G）,松江区科学技术委员会,
上海蓝魂环保科技有限公司,,船舶液货围护系统,上海市张江科学城建设管理办公室,
上海轩田工业设备有限公司,,二次焊接自动化设备,闵行区科学技术委员会,
光驰科技（上海）有限公司,,OWLE型Load-lock式蒸发镀膜机,宝山区科学技术委员会,
上海赛摩物流科技有限公司,,多端协同智能仓储管理系统,闵行区科学技术委员会,
上海宇田机电设备有限公司,,瓶盖自动化包装系统（TCM-AP）,青浦区科学技术委员会,
藤泽电工（上海）有限公司,,化霜加热管（0064001879，0064001996，0064001996A，W28-101）,松江区科学技术委员会,
锐奇控股股份有限公司,,M1Y-II电圆锯,松江区科学技术委员会,
上海创历制冷设备有限公司,,子弹冰制冰机（SK-25C,青浦区科学技术委员会,
上海凯浦实业有限公司,,直驱式双蜗壳节能泵（KP125-200、KP125-250、KP150-250、KP150-315、KP200-200、KP200-250、KP200-315、KP250-315.1、KP250-315、KP250-400）,嘉定区科学技术委员会,
上海裴椒汽车部件制造有限公司,,汽车制动系统软管中间套接头（3514-0472、8888824420-3、8888864483-3、06-3380-5945-1-00、06-3380-5952-2-00、06-3380-5953-2-00、06-3380-5965-2-00、06-3380-5966-2-00）,松江区科学技术委员会,
洪程汽车零部件（上海）有限公司,,线束Harness（A012B208/A0075209/A0075501/A0072997/A0068508/34247014/2042501）,金山区科学技术委员会,
上海芭熹机器人有限责任公司,,机器人底盘操控系统,松江区科学技术委员会,
上海创力集团股份有限公司,,MG500/1200-AWD交流电牵引采煤机,青浦区科学技术委员会,
上海捷赢密封技术有限公司,,磨辊骨架油封（POF1375-F、POF1550-F、POF1775-F、POF2000-F）,松江区科学技术委员会,
上海思源光电有限公司,,XHK-IV消弧线圈接地控制成套装置,闵行区科学技术委员会,
上海铭控传感技术有限公司,,MD-S型无线数字液位表（MD-S270L、MD-S271L、MD-S272L、MD-S273L）,青浦区科学技术委员会,
盎古（上海）科技有限公司,,疵点检测系统,闵行区科学技术委员会,
上海叶盛电气有限公司,,燃油泵总成（18V、18H、18E）,奉贤区科学技术委员会,
上海焊煌电气有限公司,,逆变脉冲铝焊机（NBC-500DP）,上海市临港地区开发建设管理委员会,
沪誉建筑科技（上海）有限公司,,保温墙体连接件（HY-G120、HY-G180、HY-G120-60，HY-G180-60）,松江区科学技术委员会,
朗瑞欧（上海）精密机械有限公司,,EF1E二排4向电动腿托,嘉定区科学技术委员会,
赫茨（上海）涂胶技术有限公司,,汽车风挡涂胶设备EVD550,嘉定区科学技术委员会,
欧贝司（上海）实业有限公司,,OBURSSI数控机床主轴（KDS1415、KDS2005G、KD1503、GH7508、KV8006、G10A、MH1806、MC2006、MH2007E、MS）,松江区科学技术委员会,
上海赤上汽车科技有限公司,,多功能遮阳装置,青浦区科学技术委员会,
上海若晟电气科技有限公司,,综合保护测控装置（RS-100S、RS-200S、RS-300S、RS300ST、RS-600S4、RS-102）,奉贤区科学技术委员会,
中船（上海）节能技术有限公司,,CMES-PSV-Ⅱ型前置预旋导轮,黄浦区科学技术委员会,
上海赫千电子科技有限公司,,智慧大脑-中央计算域控制器（T900）,浦东新区科技和经济委员会,
上海蔲樱信息科技有限公司,,大数据营销管理系统V1.0,浦东新区科技和经济委员会,
上海兰桥生物科技有限公司,,血细胞分析用染色液（MR-60FD48ml、MR-60FN48ml、MR-60FR12ml、MR-68FD48ml、MR-68FN12ml、MR-68FR12ml、SYSRET12ml*2、SYSRETSEARCH（Ⅱ）-Dye12ml、SYSWDF22ml*2、SYSWDF42ml*2、SYSWNR82ml*2、SYSWPC12ml*2、SYSPLT12ml*2）,浦东新区科技和经济委员会,
上海建工建材科技集团股份有限公司,,低粘增稠型混凝土,浦东新区科技和经济委员会,
上海建工建材科技集团股份有限公司,,高流态清水混凝土,浦东新区科技和经济委员会,
上海建工建材科技集团股份有限公司,,高韧性纤维混凝土,浦东新区科技和经济委员会,
上海建工建材科技集团股份有限公司,,预制高精度高速磁悬浮轨道梁板,浦东新区科技和经济委员会,
上海建工二建集团有限公司,,逆作法桩柱一体地下空间开发技术服务,浦东新区科技和经济委员会,
上海建工四建集团有限公司,,基于公共建筑智慧建造工业互联网的工程资料智能分类检索系统,浦东新区科技和经济委员会,
上海建工一建集团有限公司,,保护建筑更新房屋整体提升施工控制技术服务,浦东新区科技和经济委员会,
上海城建城市运营（集团）有限公司,,城市高架桥梁可移动式智能化监测技术服务,浦东新区科技和经济委员会,上海隧道工程股份有限公司
上海建工七建集团有限公司,,深基坑顺逆结合开挖加固系统技术服务,浦东新区科技和经济委员会,
上海市安装工程集团有限公司,,超高层建筑成排管束吊装工装,浦东新区科技和经济委员会,
上海开鸿环保科技有限公司,,防爆一体式催化氧化装置（KH-CY-06SE、KH-CY-01E）,浦东新区科技和经济委员会,
上海木蚁机器人科技有限公司,,智能搬运车（MEF2-2000）,浦东新区科技和经济委员会,
上海胜华电气股份有限公司,,新型矿物绝缘电缆BTTZ-750V,浦东新区科技和经济委员会,
上海建工五建集团有限公司,,空间受限条件下大跨度空间结构逆向同步拆除装备,浦东新区科技和经济委员会,
上海名路丝网印刷材料有限公司,,名路太阳能高精无网结网版（ML520-11、ML500-9、ML520-3D）,浦东新区科技和经济委员会,
晶晨半导体（上海）股份有限公司,202401001,新一代低功耗智能语音芯片（A113X2、A113L2）,上海市张江科学城建设管理办公室,
上海立芯软件科技有限公司,202401002,立芯LePlace布局及物理优化软件,上海市临港地区开发建设管理委员会,
上海锐星微电子科技有限公司,202401003,有源钟振电路（XO5127、XO5052、XO5054、XO5080、XO5070、XO5071、XO5072）,松江区科学技术委员会,
上海电气集团智能交通科技有限公司,202401004,智能数字轨道系统2.0,上海市临港地区开发建设管理委员会,
上海富瀚微电子股份有限公司,202401005,XGM集成电路,徐汇区科学技术委员会,上海市漕河泾新兴技术开发区发展总公司
上海思立微电子科技有限公司,202401006,集成电路芯片（GSL6193LMSTN1）,上海市张江科学城建设管理办公室,
上海艾为电子技术股份有限公司,202401007,集成电路（线性马达驱动）（AW86938CSR、AW86937FCR）,闵行区科学技术委员会,
上海艾为电子技术股份有限公司,202401008,集成电路（数字音频功放）（AW88166FCR）,闵行区科学技术委员会,
上海功成半导体科技有限公司,202401009,超结8英寸晶圆（CPC50、CPC60、CPC65、CPC80）,嘉定区科学技术委员会,
上海思岚科技有限公司,202401010,思岚360度激光雷达开发套装（A1M8-R6、A2M8-R6、A2M12、A3M1-R4、S1M1-R2、S2M1-R2、S2M1-R2L、S2M1-R2E、T1、M2M2、S1M1-R2Blister、S2M1-R2Blister、S2、S3、S3-Lite）,上海市张江科学城建设管理办公室,
上海赛美特软件科技股份有限公司,202401011,赛美特良率管理系统软件V1.0,闵行区科学技术委员会,
芯易荟（上海）芯片科技有限公司,202401012,芯易荟FARMC编译器软件V1.0,闵行区科学技术委员会,
上海毕科电子有限公司,202401013,0U9芯E定位插头组件（型号：000.000.F19.001.894）,闵行区科学技术委员会,
悠信（上海）电气设备有限公司,202401014,电气综合监控单元（YXSTU-1、YXSTU-2）,松江区科学技术委员会,
上海芯石半导体股份有限公司,202401015,复合型高效二极管CHED01,嘉定区科学技术委员会,
传周半导体科技（上海）有限公司,202401016,编码器芯片（TVOET2608N、TVOET2608A、TVOET3911N、TVOET3911C、TV0ET2612N、TVOET3312N）,上海市张江科学城建设管理办公室,
上海铁路通信有限公司,202401017,列车运行控制系统应答器接收单元（BTM1-YH-110）,静安区科学技术委员会,
格尔软件股份有限公司,202401018,格尔云服务器密码机软件,静安区科学技术委员会,
上海灿瑞科技股份有限公司,202401019,音频功放（OCA72317、OCA72318、OCA7237）,静安区科学技术委员会,
上海东洲罗顿通信股份有限公司,202401020,1kWUHF地面数字电视广播发射机（DZ-DTV600-1KW）,宝山区科学技术委员会,
上海合合信息科技股份有限公司,202401021,Textin合同比对、抽取、审查、分析机器人软件[简称：Textin合同机器人]V1.0,静安区科学技术委员会,
华平信息技术股份有限公司,202401022,AVCON嵌入式指挥视频终端软件[简称：U8-HDS]V1.0,杨浦区科学技术委员会,
上海仁昊电子科技有限公司,202401023,雷达测速传感器（DPL-A2）,嘉定区科学技术委员会,
上海吞山智能科技有限公司,202401024,工业测控执行器（TS-MCA、TS-MCA/DP、TS-MCA/DP/HP、TS-MCA/Mrtu/10.6.0.0/DP/HP、TS-MCA/Mrtu/10.6.0.0/DP、TS-MCA/Mrtu/4.2.4.0/DP/HP）,闵行区科学技术委员会,
上海致宇信息技术有限公司,202401025,AI统一服务平台,杨浦区科学技术委员会,
上海市保安服务（集团）有限公司,202401026,非现场执法效能智能管理分析系统,黄浦区科学技术委员会,
上海翌旭网络科技有限公司,202401027,新壹云数据专有云平台V1.0,普陀区科学技术委员会,
上海海得控制系统股份有限公司,202401028,海得indusCloud服务器（型号HiDC）,闵行区科学技术委员会,
上海同航土木工程科技有限公司,202401029,智绘钢桥软件[简称：智绘钢桥]V1.0,杨浦区科学技术委员会,
慧勒科技（上海）股份有限公司,202401030,慧勒智驾测试系统,上海市张江科学城建设管理办公室,
上海精鲲计算机科技有限公司,202401031,精鲲超级自动化软件,杨浦区科学技术委员会,
上海同陆云交通科技有限公司,202401032,道路基础设施数字化管养平台软件,嘉定区科学技术委员会,
天纳能源科技（上海）有限公司,202401033,企业能源需求侧管理大数据应用平台,闵行区科学技术委员会,
上海叠腾网络科技有限公司,202401034,叠腾图匠软件,徐汇区科学技术委员会,上海市漕河泾新兴技术开发区发展总公司
上海美创文化科技有限公司,202401035,实现多功能应用的LED显示屏P2.0,静安区科学技术委员会,
